reviews	PR
Bought this for my father who would have trouble using a computer. He's picking up on it very quickly. It keeps him entertained. Good reliable device.	AAA Batteries (4-pack)
it would be nice to have full app library, but it does what you need	Wired Headphones
This is a great tablet for kids and adults alike.!	Wired Headphones
Got this for my 3 year old and 7 year old and they love it. I have education apps and books that reads to them or they can read along. I would recommend getting a case for it if it's for the little ones just to keep it protected.	27in FHD Monitor
impulse purchase but a good one. good fit with amazon account that we already had. nice screen, easy to navigate	USB-C Charging Cable
This gift was for my mother in law. Initially I had to help her set it up, but she loves it and can now program it all by herself. Recommeneded!	USB-C Charging Cable
For its price, this a great little tablet. It does have limitations on what it can do and what apps are available for use with it which is the only reason I gave it 4 rather than 5 stars. Hopefully Amazon will allow it to perform better soon.	Wired Headphones
This suited my exact needs which was a mobile way of watching netflix.	ThinkPad Laptop
I thoroughly enjoy this table! Easy to operate, plenty of memory, and I can use it for anything that I typically use a computer for.	34in Ultrawide Monitor
Great for airline flights, viewing offline amazon or Netflix shows and reading books. Video quality fine for personal viewing.	Wired Headphones
It has been one of the best purchases ever. It is very simple to use.	USB-C Charging Cable
This is my first android tablet. It works pretty good though don't expect it to work like an iPad. The ads are extremely annoying, but that's not Best Buy's fault.	USB-C Charging Cable
For me this tablet is an extremely good value! iPads are beautiful things, and they seem to just work really well all the time. But they are expensive! Same thing with Android tablets. You can get a cheap Android tablet, but then you're left with a cheap tablet...poor quality displays, questionable hardware, limited support. I think Amazon hit the spot with their line of Fire Tablets - this HD8 in particular. It's good quality, has a great display, it's quick and snappy, has great battery life. Also being an Android based operating system, there is flexibility like accessing storage, side loading third party apps, even installing Google Play (for those who begrudge the lack of that feature, it can be done). Much more flexibility than you get with an Apple product, at a much lower price than the industry standard Samsung etc. Coming from using Apple products for so long, this thing is really convincing me that there are really viable options other than Apple, and especially for the price, its a great introduction to a different platform. Not only that, it's genuinely a good product!	34in Ultrawide Monitor
The tablet works great so far. The parent features are nice also.	AAA Batteries (4-pack)
suggested by the sales associate I'm glad I took his suggestion	USB-C Charging Cable
I gave this Amazon Fire HD8 as a retirement gift for my friend and she absolutely loves it!!	34in Ultrawide Monitor
Bought it for my daughter and she loves it great product at a great price!	Google Phone
Easy, fast and efficient.great lil tablet in this price range for anyone.	Wired Headphones
Purchased the Amazon Fide HD8 as a gift for my dad, who has been overjoyed with it. The display looks great and it offers him access to many of the features he looks for in a tablet, from e-books, streaming video or online shopping. The price is low because Amazon's OS is restrictive, but for simple or specific needs, this product is great.	Wired Headphones
Got this for my wife. She uses it daily to read She really lokes it.	USB-C Charging Cable
great tablet for kids, and for the price a great value.	USB-C Charging Cable
This is a great tablet for the price. I have one that I purchased a few years ago and use it much more than my laptop. Recently purchased two more for gifts.	Lightning Charging Cable
Does the job when I travel and I would recommend to a friend	USB-C Charging Cable
This is my fifth Kindle and with each new one I have a new feature to use.	AA Batteries (4-pack)
I like my tablet. Been doing a lot more reading than normal with it. Only disspoinment is that my TV has automatic Chromecast and you cannot cast to it on my Toshiba TV. Works on others. TVs. I like it.	27in 4K Gaming Monitor
Perfect tablet for my 8 year old without spending a fortune. I love how it has parental controls so I can limit his time playing.	Google Phone
Used for reading and surfing the web, this tablet is great for all. Great screen clarity.	Bose SoundSport Headphones
Purchased the tablet because it was a very reasonable price. It has ended up being a good tablet.	USB-C Charging Cable
I bought this for my mom because she is too scared to even use her laptop. I thought this looked more user friendly since she knows my 5 year old nephew can use an iPad.	Wired Headphones
I purchased several of these tablets during the holidays as gifts. Everyone absolutely loves the FireHD8, especially those with the prime memberships. My only regret is not purchasing one for myself.	27in 4K Gaming Monitor
I bought this for husband for Christmas. He loves it. It fits his needs perfectly. I would recommend this product.	Lightning Charging Cable
Great product. Device performed as described. Great reviews.	AAA Batteries (4-pack)
It's easy to use and my son likes to play on it alot	Lightning Charging Cable
I bought this for my 86 year old father. he loves it. finds it very easy to use	34in Ultrawide Monitor
perfect gift perfect price for my wife to bring her into the technilogical modern world we live in	Bose SoundSport Headphones
Enjoying the kindle reading watching movies playing games	Vareebadd Phone
Convenient and easy for my 10 year old to use to do homework on.	Wired Headphones
We like it!! Would buy again.Still learning about it's features. Good value	ThinkPad Laptop
Bought it for my 89 year old mom. She has enjoyed reading on it. Easy to use	Lightning Charging Cable
I needed to upgrade from the orginal Kindle fire and this Fire works great. Videos,games, email and battery life all are great.	Google Phone
Works as expected. I enjoy reading newspaper articles, books, as well as banking apps and social media tools.	AAA Batteries (4-pack)
I like this tablet. I had a nook, the fire has more memory, bigger screen and lower price. The downside? The Amazon Fire is so ridiculously proprietary that I cannot watch any of my movies on it from my nook. This is becoming industry standard. Too bad.	AAA Batteries (4-pack)
"I installed a driver for google play store; also I payed amazon to get rid of the lock screen ads ($15). It was worth it. I use this thing alot."	AAA Batteries (4-pack)
Easy to use, great battery life, plenty of space and amazing screen quality.	Lightning Charging Cable
Excellent product. The screen is very easy to read and can access movies, books, and ,more. Was given as a gift to my mother and she loves it.	USB-C Charging Cable
This tablet was great. I bought it for my sister on christmas and she loves it. It is great for surfing the web and watching videos.	Flatscreen TV
The sound and screen quality are great and I like the blue light cutoff feature.I found that toggling back & forth online to be clumsy compared to a tablet.It is lightweight and easier to handle for long periods of time.	Macbook Pro Laptop
The tablet is good for games like solitaire or other app games, and of course for books. But for internet or other applications, it would not be the top choice. Good buy for the money.	Google Phone
My wife reads a ton, she uses it everyday. She's owned others and this is by far the best.	AAA Batteries (4-pack)
This tablet is hands down the best investment I've ever made. I used to carry a laptop to meetings, then my kids talked me into getting a tablet and what a difference. As long as there is wifi it does everything my laptop will.	Apple Airpods Headphones
Hoping for an updated hdx kindle, but settled for this. Enjoy the expanded sd slot.	Lightning Charging Cable
very pleased with my amazon tablet. starting with the price ,ease of use, and size.	Lightning Charging Cable
Good cheap tablet. Great for Netflix and YouTube. Screen is a decent size just bigger than a phone and smaller than a laptop. It's also HD which is a plus	Apple Airpods Headphones
We love our tablets waiting recommend it to my friends	Lightning Charging Cable
Purchased to replace the one I bought for my brother in August (physical damage). This time, bought the extended warranty. No issues or claims so far!	USB-C Charging Cable
I think the amazon fire offer should include a stand/cover as standard. I enjoy mine a lot more since I was forced to purchase a stand/cover which holds the tablet. Would have preferred an instruction sheet to grt everything set up for use.	Apple Airpods Headphones
Easy to access the apps, but not always easy to quit. The device works good, but since it's the apps that make it what it is, more attention should be given to their operation. I was disappointed that it did not come with even a basic user's guide.	Bose SoundSport Headphones
We are a total Apple family so I was a little hesitant to purchase this when our iPad stopped working. So glad we did because it's perfect and can't beat it for the price!	USB-C Charging Cable
Love using my new tablet (Amazon Fire). Easy to use.	Lightning Charging Cable
Great buy! Good value value for the money & easy to use.	Lightning Charging Cable
Bought this for my dad food Christmas and he loves it.	27in 4K Gaming Monitor
This is a great option for a first tablet. It's lightweight and user friendly.	USB-C Charging Cable
This is just an awesome tablet for the price and the features it has	Apple Airpods Headphones
This little thing does everything and does it quickly. It could use a case, so think about getting one, but as an eReader it does everything it is supposed to.	Apple Airpods Headphones
I so happy I can recommend this good thanks Best Buy is the number one	Bose SoundSport Headphones
I think I downloaded 6 new apps. I wait to surf the web. This thing is so slow to respond. My old refurbished iPad is better. I really only bought it to stream Hulu and Netflix. I'm not excited about lighting up the home screen to find advertisements every day, but I guess you get what you pay for. I wanted inexpensive, I got it! Don't buy this if you are used to using quick responding electronics.	Bose SoundSport Headphones
My 10 year old uses it at school to scan qr codes and do his online math.	Bose SoundSport Headphones
Santa got this for my 7year old. Work's great . He plays, games, gets on hulu, and can play his school education learning games. Now he doesn't bother me to use my electronic devices .	AA Batteries (4-pack)
I have always been an iPad user but I love the kindle fire 8. It has everything you need and more and so much less expensive.	Bose SoundSport Headphones
Battery lasts a long time but I actually like my old Fire more.	AAA Batteries (4-pack)
We got this for a young girl who is 9. She loves it and there a lot of Apps that she likes. There are parental controls which is a plus, recommend for almost any age group.	Wired Headphones
I got everything I need for personal use. A great value for a cheap price.	Wired Headphones
This was a perfect gift for my friend. Obsessed with reading and has been perfect for starting a greater library of books... Very easy to use and extremely affordable. Very happy with this purchase, and will buy more for family and friends!	iPhone
I love it for reading magazines and checking my email.	ThinkPad Laptop
This tablet is sturdy and great for my kids with games and learning.	Apple Airpods Headphones
I love my kindle fire it holds a library of books that I can read anywhere. I change from my kindle fire to my phone if I don't have the kindle with me. So I can start right where I am in the book and then finish up on my kindle fire when I can. I play games and listen to books all on this device. Love it	AAA Batteries (4-pack)
It's good for doing a number of basic tasks. The Amazon Underground feature is really cool. It feels like an Android but more limited.	AA Batteries (4-pack)
Great for reading e-mail, pictures or viewing internet.	34in Ultrawide Monitor
Great item, I can say it feel just like working with an iPad. Picture, sound, size and touch are very sweet.	AA Batteries (4-pack)
this is a great tablet for under $100 and you can add kodi on it, to me thats the best feature and the duel sided camera	27in 4K Gaming Monitor
Got this as a gift for my Mom who reads a ton. She loves it for reading and great portability. Great tablet for the price.	
Great for media consumption. Screen seems sharp enough unless you get unbearably close to it. Wifi connectivity is good. Speakers sound poor but I didn't expect any better from an 80$ tablet. Have had this tablet since November and is still going strong. Only complaint is the slow charging. but it isn't too bad.	Apple Airpods Headphones
This is a nice compact size, and is very user friendly!	Flatscreen TV
.Great resolution. Camera quality not so good tho. Gave it one less star for the camera. But overall its a great tablet	Wired Headphones
I love it a lot and use it daily, bought books....	Apple Airpods Headphones
I got theses tablets for my grandkids for Christmas, they love them.	Lightning Charging Cable
My granddaughter loves her tablet. She has learned how to play both educational and recreational games. Will be very helpful in the future.	AAA Batteries (4-pack)
Great tablet for the price easy set up and app and data transferring from the original Fire.	USB-C Charging Cable
My 5 yr old loves it, however we do experience some sound issues from time to time.	Flatscreen TV
This was purchased for my 9 year-old to play games, watch movies, and read on. When we set it up, I was extremely impressed with the quality that we got for the price! It's processor is fast enough so that his games run smoothly. Setup was a breeze, and it's very sturdy. This is a great lower price tablet for anyone looking to own a nice tablet for an extremely affordable price.	Apple Airpods Headphones
Purchased for 4 yr old granddaughter who primarily uses for Netflix. Works great!	AAA Batteries (4-pack)
the fire tablet is a nice size and is easy to use it is better then the 7in fire	Bose SoundSport Headphones
Not much to say here. Cheap, fast and very functional. I was able to install google play store and everything works perfectly. Best tablet in its category. If you want something better, you better be ready to pay 3-4 times the price.	USB-C Charging Cable
This tablet exceeded my expectations. Strong processor, nice screen. Wish it had Bluetooth and was not so centered around Amazon prime.	Lightning Charging Cable
Great item. My teen lives it. This item offers more than just reading.	AAA Batteries (4-pack)
Tablet was college student. Replace a bulky laptop. Good for taking notes, reading text books and regular books. Loud alarm to wake college student for early classes. All a round got tool for school.	Lightning Charging Cable
its very easy to set up and use. love to take it with me . screen its large enough to read easy on it	USB-C Charging Cable
"my 7"" wore out,my 8"" is much better,allthough the covers are expensive and screen protectors are hard to find. the battery life is exceptional !"	AA Batteries (4-pack)
Was looking for a tablet with expandable memory that was reliable. Amazon Tablet was the best choice	Macbook Pro Laptop
Very easy to use. Size is just right --not cumbersome at all.	20in Monitor
Cannot beat the value and features that this product offers for the low price point.	Macbook Pro Laptop
The Amazon-Fire is an inexpensive WiFi device we use for answering messages and is quickly shifted from person to person as well as moved from room to room.	Bose SoundSport Headphones
This tablet absolutely surprised me. The screen is awesome and the battery life is great.	AA Batteries (4-pack)
"I love the Fire HD. Went back and bought the Fire 7"" for my wife that afternoon!"	Apple Airpods Headphones
I've had multiple Amazon Fire tablets. They are a great bargain. I love the ease of use and functionality. The only downfall is that it is really slow to charge.	Wired Headphones
This was an awesome tablet purchased for my seven year old daughter for Christmas. Initially, I was looking to purchase the iPad mini but unfortunately they were sold out. This was my alternative and I am so glad I did. The price was perfect and the internet and app access have been great! She loves it! The only thing she misses is the FaceTime but it has not been a big deal at all!	USB-C Charging Cable
Gecksqd. Helpful in understanding different things .	27in FHD Monitor
Upgrade from old Kindle Reader whose charger quit working android system easy to use	Bose SoundSport Headphones
I really like the value of this Fre. It is thin, light, and has all the features of those higher priced tablets. A good camera lens....and access to amazon deals make this well worth $69. Try it!	AAA Batteries (4-pack)
Got this for my mom. Decent tablet not heavy and good pirce. She loves it.	27in 4K Gaming Monitor
Great tablet - lag free when running apps... Good battery life. Only downside is lack of ability to screen mirror. Was available on older versions but no longer	Apple Airpods Headphones
My father upgraded from the original Kindle Fire to this model, and he's very happy with it. It doesn't compete with more mainstream tablets, but he likes the Kindle's system for downloading library books.	Lightning Charging Cable
Gave as Gift. the recipient powered down his IPad, and is giving it away.	AA Batteries (4-pack)
I bought this for my wife, this is her third Amazon Fire tablet. She mostly uses it for reading but she really likes the speed and the additional features on this one. She's very happy with it	Lightning Charging Cable
Very bright display, speedy processor, and solid feel. Impressed.	AAA Batteries (4-pack)
I bought this item as a Christmas gift for my granddaughter and she has loved every minute of it. It is intuitive, easy to use and she has it in her hands several times every day for everything from research for school to reading a book. Paw Paw hit a homer with this one!	Wired Headphones
It was great product. the price which I got it was great.	AAA Batteries (4-pack)
There's different things my daughter can do,on it, plus I can read on it as well.	USB-C Charging Cable
It's easy and intuitive. The only criticism is that it should be easier to go right into an application, instead of watching an advertisement, then having to figure out how to exit it	AA Batteries (4-pack)
Our first tablet. Purchased for my husband prior to a long train trip. Downloaded movies had Internet and was great for traveling.	Flatscreen TV
Works flawlessly. Good contender to my brother's iPad. Much cheaper in price. Win for me.	34in Ultrawide Monitor
I purchased this for my mom for Christmas and she loves it!	Lightning Charging Cable
The amazon kindle is nice, portable and very easy to use.	Bose SoundSport Headphones
"I bought this as a Christmas gift for my 8 year old. I was a big hit. I love the 8"" screen. The price was perfect for my budget."	USB-C Charging Cable
Great price for the internal memory size. If you are looking for a good tablet, this is it!	ThinkPad Laptop
"I bought this for my 8 year old. I was a great buy. The price was affordable compared to other tablets on the market and e 8"" screen is perfect. Another great buy!!!"	AAA Batteries (4-pack)
I have an original Kindle Fire and am really enjoying my new updated version. Larger screen and very easy to navigate.	Bose SoundSport Headphones
I was given a fire when I was recuperating from spine surgery a few years ago. I used it for everything for quite some time. This one has a camera and plays all the latest files. I still have and use the old one as well. An excellent content delivery system. I got it with Best Buy customer appreciation money...what a deal!	27in FHD Monitor
We purchased this as a gift. Researching and word of mouth led us to purchase this one. Very user friendly.	AAA Batteries (4-pack)
The UI experience is great, especially for Prime members. The tablet is quick and responsive with plenty of memory to ha for any task.	Apple Airpods Headphones
bought this for my elderly mother to play games, get email and pics via Instagram, etc. now she's a geek! easy to use, even for a novice and very reasonably priced. Great buy, highly recommend this.	USB-C Charging Cable
Purchased this as a Christmas gift for my girlfriend. She absolutely loves it and uses it every day. She's very picky about electronics and she loves her tablet so it must be good!	Apple Airpods Headphones
It was a gift. The individual thoroughly enjoys it.	Apple Airpods Headphones
the kindle is a great tool especially for the money. Fast processing, great screen clarity. Highly recommended	AAA Batteries (4-pack)
This is my third Kindle (second Fire). I use it constantly primarily for reading electronic books. Currently have over 350 books in Kindle library. Like it best when traveling as I don't have to carry a bunch of hardback books with me. Anywhere I go where I know there will be a waiting line (haircut, doctor's or dentist's office) I have it with me and use it productively to read..	Lightning Charging Cable
The Fire HD is a nice tablet that functions well but doesn't meet the shear horsepower and feel of an iPad....but, at about 1/4 the cost, it fits the bill pretty well.	27in 4K Gaming Monitor
Great price. Easy start up easy to use.. large memory Great product	27in 4K Gaming Monitor
I love that I can read all my books on here and search the internet!	Apple Airpods Headphones
Being able to sign in and not have to do any setting up makes this device super user friendly!	Apple Airpods Headphones
Love the tablets. Light, Good battery life, and fast performance.	USB-C Charging Cable
It was a fast deliver, the tablets is awsomo and it's a great service	34in Ultrawide Monitor
My 15 year old is curious about adult material. But with this tablet you can control so much of the content he sees. You can even control how much he learns before watching videos and games.	ThinkPad Laptop
The Kindle/Amazon Fire HD Tablet is not a high priced item but it is everything I want from a tablet. Easy to use, easy to read and easy to pay for. A great tablet	Lightning Charging Cable
Best tablet hands down. Bigger screen and great new features. Has Alexis also. Lots of storage as well.	AA Batteries (4-pack)
I love this tablet. The size fits perfectly in one hand. The display is wonderful and the loaded apps have me reading again. It is the absolute best!	Bose SoundSport Headphones
Small and compact, surprisingly good image and sound.	20in Monitor
"Having family members who lose cables all the time, this is a great deal. Reliable cable for the iphone at an affordable price. Plus the various cable colors allow me to assign colors for a person or charging station so we know when someone ""barrows"" a cable."	USB-C Charging Cable
I am satisfied with my products. I look weekly for a good deal. I look forward to more deals	Wired Headphones
With a little tweaking you can install Playstore without rooting. It's a great tablet, excellent color, fast, and battery lasts a very long time.	AA Batteries (4-pack)
Bought this table for my 4 and 9 year old for Christmas. They love them!	USB-C Charging Cable
It is a reliable easy to use tablet. Holds charge well and provides for my needs.	20in Monitor
I bought this for my girlfriend as a Christmas Present. She is a avid reader and has been using our ipad to read online library books. She asked me for a nook reader, but after seeing the fire....it was a no brainer to go in that direction. it is used everyday and she loves it.	27in 4K Gaming Monitor
My grandson love this tablet alot of great games and learning activities.	AAA Batteries (4-pack)
This smokes the Fire 7 which I picked up last year. Powerful and great screen for streaming...cannot go wrong for the price.	AA Batteries (4-pack)
Bought for my 7 yr old. Quality product at an affordable price. Bought on sale for $69.99.	27in FHD Monitor
I would recommend this anytime as it's a great product it's	AA Batteries (4-pack)
For the money the Kindle Fire is the best tablet on the market. I wish I didn't buy my I pad already I would have got one of these for myself.	Bose SoundSport Headphones
this does everything and more the older, more expensive Kindles. I'm not sure I need my ipad or laptop any more.	AA Batteries (4-pack)
My son loves it. There are a lot of kid friendly apps available.	AAA Batteries (4-pack)
Purchased this for my 83 year old mother to primarily use as an e-reader. It seems as this may be easier for her to see than an actual book. She does not always find new technology easy to use, but seems to be doing ok with this tablet. She also is using it to play solitaire and possibly some other games.	iPhone
I left my 7 on airline flight and bought the 8 to replace love love the speed and the video on it. Glad I bought it is worth it!!!! the download speed has improved very much!!	Lightning Charging Cable
I was surprised on how easy it was to use. I bought it for my mother and she totally loves it, and I do too!	Bose SoundSport Headphones
Oh my, oh my, oh my! Amazon can do no wrong! This device is my precious!	AAA Batteries (4-pack)
Purchased this for my wife during Christmas and got a great deal on it. Compared to the older version that she has this model is faster, brighter, and more convenient with Alexa. I would recommend this product looking for a tablet with lots of features packed in it.	Apple Airpods Headphones
Purchased the device for my neice, she loves it, highly recommend	Bose SoundSport Headphones
Price/Quilty this thing is a no brainer. Awesome portal into the Amazon world.	20in Monitor
My wife uses this for playing on line games. She loves it	AA Batteries (4-pack)
"I thought about purchasing a Samsung tablet also, however I do like to read as well. I saw several reviews that have a negative view because of the Amazon software and that it is not stock Android.However, I have installed the Play Store (you can find instructions online) and I am very happy with this tablet. I would definitely recommend it. Also I have had 10"" tablets before, and this one is just the right size."	AA Batteries (4-pack)
Bought this to update the old one we have and so far it's been a good buy.	34in Ultrawide Monitor
Great screen resolution and easy to use. Battery life is really good.	Lightning Charging Cable
This was the perfect tablet for my wife for Christmas, she loves it. Easy to navigate and plenty of room for her favorites!	USB-C Charging Cable
Size, brightness, and convenience are good. The option to link with android products for messages is a little hard.	34in Ultrawide Monitor
I bought this for Christmas and my 10 year old loves it!!!!!!!!!!!!!!	AA Batteries (4-pack)
I need a tablet to begin exploring google and kindle fire was a great choice.	USB-C Charging Cable
Got this tablet for my mom who isn't very tech savvy. She loves it. Can't beat the price	Lightning Charging Cable
I am very impressed with this tablet. It is faster than some iPads I have used. I gave this as a gift and my Mother-in-law loves it. Thank you	Wired Headphones
Hands down a great update to my first gen Kindle. Worthwhile!	27in FHD Monitor
Cheaper than the paper white and has more abilities	34in Ultrawide Monitor
I bought this to replace an older model and am very happy with the product. Mostly used for reading but also for surfing the web, facebook, etc. Love it!!	Wired Headphones
Got this as a gift for my mother and she's satisfied	Google Phone
This was a gift for my wife and she loves it!! It is much better than the old one	Wired Headphones
Bought for my daughter instead of an I-pad. Works well, love the Amazon Underground App Store, but battery life doesn't seem to last as long as older I-pads. Easy enough though for a child to use.	Apple Airpods Headphones
Got it on sale and it's good for what you pay for instead of paying a lot of money on an iPad.	Wired Headphones
this electronic book reader is great, able to read ebooks, watch movies, play games. or browse the internet. it lets you hookup to any internet connection you want to use as long as its range	Lightning Charging Cable
Does a good job of performing basic functions and provides a good amount of entertainment. Good for watching movies or playing simple games or performing simple tasks. Looks good. Seems like it is well made and of good quality materials. Have not had any problems. Battery life is great for the price. Amazon sells a quality product.	Wired Headphones
I am happy to get this product and i would also recommend this to my friends	Bose SoundSport Headphones
"Last got Fire 7"" for my kids, with an Amazon Freetime subscription. These are very good for the price with two flaws: The screen is good and much better than other Android devices at 7"" but not great, and got the 8 Mb version with I would not recommend in hindsight. Because Android's sub-par management on SD cards, got these this year. It has a much better screen, not only larger but with better resolution, adequate speakers for its price, it's fast enough and overall more enjoyable to use. 16 Gb is the minimum I'd recommend, even with SD cards because some apps just work better with internal storage, and some apps even stored in SD will still use some amount of internal storage.It also has Alexa voice support.The main reason for these tablets in my case is the Freetime subscription that has unlimited access to thousands of age-appropriate books, hundreds (or thousand) of free apps and heavily curved web access per age presets. Amazon Fire OS has a decent support for multi-user and in particular kids accounts. My kids are 7 and 9. They spend a lot of time on games as expected but also read a good amount of books."	AAA Batteries (4-pack)
As far as functionality it works well. I can surf the internet, match movies, check social media, and anything else a tablet is supposed to do. The app store has a good variety off apps. It does not have as many as the iTunes store, but there is plenty of variety. The reason I knock a star off is the constant ads. I know that this is an Amazon product, but the ads get a little annoying.	27in FHD Monitor
I DON'T USE MUCH OF THE APPLICATIONS BUT IT WORKS FOR THINGS I NEED.	20in Monitor
If your looking for a great tablet without the high price this is the tablet for you...	Vareebadd Phone
My wife loves her new Fire 8 tablet. It is easy to use and rubs quickly and smoothly,.	34in Ultrawide Monitor
Bright screen, lightweight, great price, I love it!	Apple Airpods Headphones
It is a very nice tablet, but the 10 inch tablet seems faster and easier to enjoy for the price	AAA Batteries (4-pack)
Really wanted a tablet that was near the nexus 7, but didn't have too much bulk! I looked at the Nvidia Shield as well, and ended up settling on the Fire HD. Tremendous resolution, great battery life, and very easy to use. Highly recommend to anyone that wants a portable tablet for reading, watching videos/movies, and gaming.	Flatscreen TV
The first tablet I bought was good at first until it stops charging. I went to best buy to check it and they said that everything is okay. We tried it again at home and it was the same thing, it charged for a few min until probably 2% and will stop. I brought it back to the store and they replace it with a new one. So far I don't have problem with it as well as the other 2 tablets that I bought together with the first tablet.	USB-C Charging Cable
It's alright to browse the Internet and watch videos.	AA Batteries (4-pack)
Works great and has an excellent screen size. You cannot go wrong for the price unless you need to install google apps. Amazon blocks them although I have heard there are work arounds.	Flatscreen TV
Great product, good speed, nice resolution for the price.	Apple Airpods Headphones
I have only had this Amazon Fire Hd8 since December 6, 2016 and it has already quit charging.	USB-C Charging Cable
It was easy to set up and use and the screen is big enough to play games on	27in 4K Gaming Monitor
Its a nice tablet however it could be better but you get what you pay for	34in Ultrawide Monitor
My grandbabie love their kindles this is the 8th Kindle I buy for them	USB-C Charging Cable
"I bought this for my son as a first tablet. I am impressed by the built-in parental app. It has a good level of control that I feel comfortable with. My son likes his Kindle. I think he will like it more when he gets used to having to get through the ""educational"" features before he can play. I admittedly need to explore the tablet more myself. That will enable me to customize the settings and the apps for him and myself."	27in 4K Gaming Monitor
First experience with a tablet for my husband who likes it and uses it all the time. We like it.	ThinkPad Laptop
I bought this for my niece for a Christmas gift.she is 9 years old and she love it.	Wired Headphones
"My old Kindle was not working so good anymore so bought this one on a Black Friday Deal from Best Buy. Price was great. The only problem I had was that at times it did not seem to be charging well or fast. I took it back to Best Buy and they would have replaced it for me but then would have lost all progress in games I had played. The person at Tech Support suggested that I change the plug in ""brick"". He said that they have had problems with that. I can use the same plug that I use for my iphone and now it charges fine. Glad that it was an easy fix."	Lightning Charging Cable
Love the 8 inch HD tablet. Great colors on screen. Not cheaply built like some.	AAA Batteries (4-pack)
This is the best tablet you can get for under $100. I have used or own many tablets including Ipad Pro/Mini, Samsung Galaxy Tab and Nexus. They are popular high-end tablets but easily cost over $300 or $400. I was very surprised by quality of this tablet and it gives you much more than what you pay. Battery performance is great- it easily lasts over 10 hours after charge. Speakers are solid with two drivers. Performance is decent although not as fast/responsive as high-end tablets. I was bit disappointed at its low contrast display. However for its price, I cannot complain too much.	20in Monitor
I purchased two of these tablets as a gift for Christmas. It has an exceptional HD screen which provides rich colors and makes it easy for those that like to read book, articles etc.	AAA Batteries (4-pack)
One of the best tablets. Good for watching YouTube and reading as well.	Bose SoundSport Headphones
This Kindle is the right size for travel, yet large enough to read. Love all the features and price!	Wired Headphones
Kindle Fire HD8 is great! Love the the size and the graphics. Easy to use and navigate. Perfect gift for mom!	Wired Headphones
The battery life is great.Last on a bus trip to kept he quiet.	AAA Batteries (4-pack)
I got this for my wife and she loves it. Great speed and display	AAA Batteries (4-pack)
Gift for our son and he is really enjoying it. He can read as well as play games.	Macbook Pro Laptop
I use this tablet as an e-reader and to listen to prime music at the same time. Great for this.Still leaning other features.	Apple Airpods Headphones
I got this mainly to watch tv/movies. Battery life is best of all devices I have used to date.	20in Monitor
Enjoyed the Kindle 7 and now this better version as well.	AA Batteries (4-pack)
Purchased this on sale for my son. He and I use the tablet to watch movies, play games, read books, and browse the Internet. It's great for the price we paid. If you're a fan of Amazon, you automatically have apps for their services.The downside is you are not able to use google apps and the adds that appear from Amazon when you turn the device on.	USB-C Charging Cable
Really a nice item ..works wonderfully ..for the cost it's a bargain	27in 4K Gaming Monitor
Great product for the price! Works great and comes with ample storage.	27in FHD Monitor
My kids really like this and if your buying a tablet for kids it's worth it, but maybe not so great for adults.	Bose SoundSport Headphones
this tablet is excellent i use it on the couch inthe bedroom and in the car too i simplty love it	iPhone
Great resolution, easy to use. Amazon Prime gives you free movies, books, and games!	AAA Batteries (4-pack)
This tablet was a Christmas gift for my dad. It has great resolution and is easy to use. With Amazon prime you get free movies, books, and games. I would highly recommend.	AAA Batteries (4-pack)
We bought this tablet for our 4 year old to play games and watch Netflix. He loves it and at this price point, we're not overly concerned if he damages it. We bought a nice foam case that keeps it well protected. We're highly satisfied.	Lightning Charging Cable
Very good picture and it even takes pictures which is awwsome. You even get a free month of Amazon prime which came in very handy around Christmas Time	Lightning Charging Cable
My daughter loves this tablet! She plays multiple games and has taken video. Easy to use and the color is very vivid!	27in 4K Gaming Monitor
Screen size good for older people. Great resolution and easy to use.	Lightning Charging Cable
Seems to work well. Screen quality is good. Like the size.	Flatscreen TV
I had been thinking about getting a reader for a while but did not know which one I wanted. As I looked at and tried several, I thought the Kindal Fire was the one I wanted. After discussing the features of the product with a salesperson, I decided.that it was the reader I wanted. It has turned out to be just what I wanted.	Apple Airpods Headphones
Great value for the money. However, the operating system is a bit clunky. Constant notifications and messages to delete. Some can be turned off, other seem to just keep appearing. The reader app surprisingly is less than intuitive.	Lightning Charging Cable
I bought this for my son after he broke his iPad, and I am so glad I did!! It has unlimited games and books, which has made such a huge difference in his desire to read!! Love love this tablet!!!	Lightning Charging Cable
Bought this during black friday for $60. while I'm skeptical at first, it turns out to be a solid tablet for everyday use. Not to mentioned the great low price!	USB-C Charging Cable
I love the size of this tablet. I have an Ipad and think I prefer this size. It's easy to carry and a great size for reading. Got it for Christmas and am loving it! I haven't tried to take any pictures yet and I didn't really purchase it for taking photos. I saw the reviews before purchasing and they were not good regarding photo quality. Again, that was not my purpose so am not too concerned at this time.	Wired Headphones
The size and price makes this a best buy! I'm very pleased with my tablet	AAA Batteries (4-pack)
I am thrilled with this purchase! Both affordable and high quality!	AA Batteries (4-pack)
I will try again for the 3rd time with my new Amazon Fire. It seems to have nice upgrades.	Lightning Charging Cable
This tablet works as well or better than my iPad. It is quicker and simpler to use with better speed and reaction.	USB-C Charging Cable
Pros:Great value for moneyEnough power to handle lot of Android gamesDecent battery lifeCons:Feels slow after using for a few weeksLow-resolution screen and camera.	Wired Headphones
